A,B
tcf3,mysm1
tcf3,hand1
tcf3,cbfa2t3
tcf3,dact2
tcf3,ncl
tcf3,park7
tcf3,skp1a
tcf3,pcna
tcf3,eif4a1
tcf3,srsf1
tcf3,dnmt1
tcf3,rnf14
tcf3,fcer2a
tcf3,cr2
tcf3,gata2
tcf3,rbbp7
tcf3,rbbp4
tcf3,olig1
tcf3,npm1
tcf3,pdlim4
tcf3,hist1h4f
tcf3,neurod2
tcf3,ascl3
tcf3,tle6
tcf3,cers2
tcf3,ercc8
tcf3,ddx5
tcf3,smarca4
tcf3,smarce1
tcf3,pbx4
tcf3,papolb
tcf3,zfp277
tcf3,sfn
tcf3,eef1b2
tcf3,chd4
tcf3,psmd11
tcf3,hey2
tcf3,rpsa
tcf3,eif4a2
tcf3,nono
tcf3,rai14
tcf3,ube2n
tcf3,psmd2
tcf3,rfx4
tcf3,rpl4
tcf3,foxp1
tcf3,atoh1
tcf3,zdhhc15
tcf3,neurod1
tcf3,trip4
tcf3,zfp292
tcf3,sowahc
tcf3,ncapd2
tcf3,psme3
tcf3,rps3
tcf3,eif3g
tcf3,prpf31
tcf3,psmd13
tcf3,sf3b3
tcf3,rpl27a
tcf3,rfc3
tcf3,rpl7a
tcf3,taf15
tcf3,pak2
tcf3,ubb
tcf3,scx
tcf3,cbfa2t2
tcf3,tcf21
tcf3,hist2h4
tcf3,ywhaq
tcf3,twist1
tcf3,cd79a
tcf3,zdhhc6
tcf3,med16
tcf3,hey1
tcf3,prpf8
tcf3,hist1h4h
tcf3,hist1h4c
tcf3,hist2h2ab
tcf3,hist3h2a
tcf3,hist1h4k
tcf3,lsm2
tcf3,ncapg
tcf3,sub1
tcf3,jade1
tcf3,tcf15
tcf3,phlda1
tcf3,atoh8
zfp275,tfdp2
zfp275,tle6
zfp275,cic
zfp275,med20
cited4,ivns1abp
cited4,ezh2
cited4,crebbp
cited4,ciita
cited4,sirt1
cited4,tle6
cited4,cers2
cited4,rbm39
cited4,phtf1
cited4,ankrd22
cited4,rai14
cited4,zdhhc6
cited4,hnrnpd
cited4,hivep2
cited4,polr3f
dmrtc2,tfdp2
dmrtc2,nr3c1
dmrtc2,mcm6
ell,stat1
oprm1,wls
oprm1,rtp4
oprm1,ppp1r9b
nphs2,igf1r
nphs2,atp2a2
nphs2,bag2
nphs2,slc25a12
nphs2,tfrc
nphs2,slc25a4
nphs2,slc25a13
nphs2,h2-k1
nphs2,slc25a5
nphs2,rps3
nphs2,tgfbr2
nphs2,ifitm3
nphs2,c1qbp
nphs2,itm2b
nphs2,arf4
nphs2,plxnb2
nphs2,atp5c1
nphs2,atp5o
nphs2,irgm1
nphs2,ppa1
nphs2,tmem176b
ywhab,ywhae
ywhab,ctnnb1
ywhab,ywhaz
ywhab,itpr1
ywhab,uqcrc1
ywhab,fyn
ywhab,dlg3
ywhab,cyfip1
ywhab,fasn
ywhab,agap2
ywhab,actb
ywhab,cbl
ywhab,atp5b
ywhab,atp1b1
ywhab,vdac1
ywhab,ptpn11
ywhab,nckipsd
ywhab,hspd1
ywhab,app
ywhab,hspa5
ywhab,hsp90b1
ywhab,cltc
ywhab,lrrk2
ywhab,hsp90ab1
ywhab,shank3
ywhab,tomm70a
ywhab,nedd4
ywhab,dlst
ywhab,pdha1
ywhab,sfxn3
